audio_id,title,language,category
67893e6513537f4d2049d451,5 Financial Rules Buying a House ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6613537f4d2049d468,Alcohol Causes Cancer ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6813537f4d2049d47f,Are Publishers Cashing in on Book Piracy？ ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6913537f4d2049d496,Astrology through AI ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6c13537f4d2049d4ad,Best Place for Manufacturing ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6d13537f4d2049d4c4,Biggest Opportunity for Indian Business Jan 2025 ｜ Business ｜ Sarthak Ahuja,English,Business
67893e6f13537f4d2049d4db,Business of Micro Dramas ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7113537f4d2049d4f2,Buy House in Italy for One Euro only ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7313537f4d2049d509,Cities in India Spending on Luxury ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7513537f4d2049d520,Colour of the Year 2025 ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7713537f4d2049d537,Coquette Clothing Business for 2025 ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7913537f4d2049d54e,Cost of Living in Dubai ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7a13537f4d2049d565,Don't Buy Gold in Dubai ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7b13537f4d2049d57c,Every Founder Should Do This ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7d13537f4d2049d593,Gold vs Silver ｜ Business ｜ Sarthak Ahuja,English,Business
67893e7e13537f4d2049d5aa,Hatkora Exports from Mizoram ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8013537f4d2049d5c1,How Indians will make a Lot of Money in the Next 5 Years ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8113537f4d2049d5d8,How much Money Does India's 1% have？ ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8313537f4d2049d5ef,How to Buy a House at 50% Discount ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8513537f4d2049d606,How to Make Money on AirBnB ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8613537f4d2049d61d,Indian Passport Ranking Falls ｜ Business ｜Sarthak Ahuja,English,Business
67893e8813537f4d2049d634,Indian Woman Runs Chanel ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8913537f4d2049d64b,Indian in the US is Not Premium ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8d13537f4d2049d662,Largest Land Owner in London & Dubai ｜ Business ｜ Sarthak Ahuja,English,Business
67893e8f13537f4d2049d679,Magic Spell Water in the US ｜ Business ｜ Sarthak Ahuja,English,Business
67893e9213537f4d2049d690,Most Influential City for IPO Listing ｜ Business ｜ Sarthak Ahuja,English,Business
67893e9413537f4d2049d6a7,Most Loved Brands of 2024 ｜ Business ｜ Sarthak Ahuja,English,Business
67893e9613537f4d2049d6be,Most Valuable Beverage in the World ｜ Business ｜ Sarthak Ahuja,English,Business
67893e9813537f4d2049d6d5,No. 1 Car of India 2024 ｜ Business ｜ Sarthak Ahuja,English,Business
67893e9b13537f4d2049d6ec,North Indians vs South Indians ｜ Business ｜ Sarthak Ahuja,English,Business
67893ea113537f4d2049d703,Opportunity in Africa ｜ Business ｜ Sarthak Ahuja,English,Business
67893ea313537f4d2049d71a,Penguin CEO's Guide to Getting your Book Published ｜ Business ｜ Sarthak Ahuja,English,Business
67893ea513537f4d2049d731,Please Apply for US Visa ASAP ｜ Business ｜ Sarthak Ahuja,English,Business
67893ea713537f4d2049d748,Polo Ralph Lauren in Fake in Bali ｜ Business ｜ Sarthak Ahuja,English,Business
67893ea913537f4d2049d75f,Punjab's Downfall ｜ Business ｜ Sarthak Ahuja,English,Business
67893eab13537f4d2049d776,Rs 1.5 Crore Salary Middle Class ｜ Business ｜ Sarthak Ahuja,English,Business
67893eac13537f4d2049d78d,Rupee Valuation Canada and USA ｜ Business ｜ Sarthak Ahuja,English,Business
67893eae13537f4d2049d7a4,Salmon Sperm Facial ｜ Business ｜ Sarthak Ahuja,English,Business
67893eaf13537f4d2049d7bb,Scam in Company Registration ｜ Business ｜ Sarthak Ahuja,English,Business
67893eb113537f4d2049d7d2,Sell Anything to Anyone FOBO ｜ Business ｜ Sarthak Ahuja,English,Business
67893eb213537f4d2049d7e9,Starface Beauty Trend ｜ Business ｜ Sarthak Ahuja,English,Business
